SCH_YR,DIV_NUM,DIV_NAME,B0AND10,B11AND15,B16AND20,OVER20
2012,77,Pulaski County ,87.09%,6.37%,3.07%,3.48%
2013,77,Pulaski County ,87.73%,7.21%,2.56%,2.50%
2014,77,Pulaski County ,88.47%,6.06%,2.69%,2.78%
2015,77,Pulaski County ,87.35%,7.22%,2.79%,2.64%
2010,78,Rappahannock County ,81.70%,10.13%,4.45%,3.72%
2011,78,Rappahannock County ,86.12%,7.31%,3.76%,2.82%
2012,78,Rappahannock County ,82.01%,9.46%,4.01%,4.52%
2013,78,Rappahannock County ,83.09%,10.23%,3.34%,3.34%
2014,78,Rappahannock County ,66.70%,15.69%,6.47%,11.13%
2015,78,Rappahannock County ,68.46%,14.40%,6.37%,10.77%
2010,79,Richmond County ,88.67%,6.80%,1.64%,2.89%
2011,79,Richmond County ,94.20%,3.84%,1.06%,0.90%
2012,79,Richmond County ,89.94%,5.81%,2.21%,2.04%
2013,79,Richmond County ,91.21%,5.75%,1.87%,1.17%
2014,79,Richmond County ,91.56%,5.79%,1.72%,0.94%
2015,79,Richmond County ,90.59%,5.51%,1.84%,2.07%
2010,80,Roanoke County ,92.26%,4.43%,1.57%,1.73%
2011,80,Roanoke County ,92.80%,4.03%,1.40%,1.77%
2012,80,Roanoke County ,91.54%,4.77%,1.61%,2.09%
2013,80,Roanoke County ,92.42%,4.12%,1.70%,1.76%
2014,80,Roanoke County ,92.39%,4.33%,1.54%,1.75%
2015,80,Roanoke County ,93.90%,3.35%,1.25%,1.50%
2010,81,Rockbridge County ,75.03%,13.63%,4.73%,6.61%
2011,81,Rockbridge County ,86.58%,7.40%,2.03%,3.99%
2012,81,Rockbridge County ,82.04%,9.71%,3.65%,4.59%
2013,81,Rockbridge County ,83.62%,9.15%,2.97%,4.26%
2014,81,Rockbridge County ,81.41%,9.34%,4.03%,5.21%
2015,81,Rockbridge County ,81.99%,9.55%,3.03%,5.44%
2010,82,Rockingham County ,91.04%,5.38%,1.83%,1.75%
2011,82,Rockingham County ,91.34%,4.95%,1.68%,2.04%
2012,82,Rockingham County ,91.23%,4.84%,2.03%,1.91%
2013,82,Rockingham County ,92.41%,4.27%,1.68%,1.63%
2014,82,Rockingham County ,92.79%,3.99%,1.55%,1.68%
2015,82,Rockingham County ,93.80%,3.54%,1.15%,1.51%
2010,83,Russell County ,87.29%,7.04%,2.92%,2.75%
2011,83,Russell County ,85.86%,8.19%,2.97%,2.99%
2012,83,Russell County ,87.73%,6.95%,2.31%,3.02%
2013,83,Russell County ,84.75%,8.94%,2.99%,3.32%
2014,83,Russell County ,80.53%,11.31%,4.25%,3.91%
2015,83,Russell County ,81.30%,9.96%,4.46%,4.29%
2010,84,Scott County ,90.07%,6.29%,2.12%,1.51%
2011,84,Scott County ,90.00%,5.81%,2.17%,2.01%
2012,84,Scott County ,89.80%,5.96%,2.14%,2.09%
2013,84,Scott County ,89.97%,6.06%,1.87%,2.10%
2014,84,Scott County ,88.80%,6.56%,2.40%,2.24%
2015,84,Scott County ,88.60%,6.58%,2.45%,2.37%
2010,85,Shenandoah County ,89.62%,6.50%,1.83%,2.05%
2011,85,Shenandoah County ,90.57%,6.25%,1.53%,1.64%
2012,85,Shenandoah County ,88.99%,6.94%,2.24%,1.82%
2013,85,Shenandoah County ,90.17%,6.33%,1.50%,2.00%
2014,85,Shenandoah County ,89.60%,6.08%,2.11%,2.21%
2015,85,Shenandoah County ,88.17%,7.45%,2.09%,2.30%
2010,86,Smyth County ,86.15%,7.98%,2.80%,3.06%
2011,86,Smyth County ,86.04%,8.27%,3.08%,2.61%
2012,86,Smyth County ,84.50%,8.30%,3.08%,4.13%
2013,86,Smyth County ,84.94%,8.05%,3.15%,3.86%
2014,86,Smyth County ,83.50%,8.83%,4.01%,3.67%
2015,86,Smyth County ,83.40%,8.48%,3.45%,4.67%
2010,87,Southampton County ,86.15%,7.25%,2.42%,4.19%
2011,87,Southampton County ,87.07%,6.08%,3.14%,3.71%
2012,87,Southampton County ,86.66%,7.42%,3.10%,2.83%
2013,87,Southampton County ,88.54%,6.94%,1.84%,2.69%
2014,87,Southampton County ,88.77%,5.49%,2.42%,3.32%
2015,87,Southampton County ,87.74%,6.73%,2.96%,2.57%
2010,88,Spotsylvania County ,86.34%,6.96%,2.82%,3.89%
2011,88,Spotsylvania County ,87.17%,6.16%,2.71%,3.96%
2012,88,Spotsylvania County ,87.15%,6.67%,2.60%,3.58%
2013,88,Spotsylvania County ,88.33%,6.30%,2.20%,3.16%
2014,88,Spotsylvania County ,89.24%,5.67%,2.38%,2.71%
2015,88,Spotsylvania County ,87.15%,6.33%,2.88%,3.64%
2010,89,Stafford County ,89.05%,6.05%,2.21%,2.68%
2011,89,Stafford County ,90.02%,5.40%,2.04%,2.54%
2012,89,Stafford County ,89.23%,5.74%,2.22%,2.81%
2013,89,Stafford County ,93.36%,3.78%,1.34%,1.52%
2014,89,Stafford County ,95.47%,2.87%,0.84%,0.82%
2015,89,Stafford County ,91.26%,5.03%,1.66%,2.05%
2010,90,Surry County ,90.04%,4.25%,2.49%,3.22%
2011,90,Surry County ,90.40%,4.53%,1.73%,3.34%
2012,90,Surry County ,89.13%,6.48%,1.87%,2.52%
2013,90,Surry County ,90.30%,4.42%,2.05%,3.23%
2014,90,Surry County ,89.80%,4.93%,2.24%,3.03%
2015,90,Surry County ,90.07%,4.96%,2.36%,2.60%
2010,91,Sussex County ,80.53%,10.36%,4.17%,4.95%
2011,91,Sussex County ,80.45%,10.10%,3.63%,5.82%
2012,91,Sussex County ,76.11%,12.31%,5.34%,6.23%
2013,91,Sussex County ,78.14%,10.56%,3.91%,7.40%
2014,91,Sussex County ,79.83%,9.32%,5.34%,5.51%
2015,91,Sussex County ,79.50%,10.38%,3.90%,6.21%
2010,92,Tazewell County ,76.48%,11.69%,5.15%,6.69%
2011,92,Tazewell County ,77.04%,12.48%,4.97%,5.50%
2012,92,Tazewell County ,76.48%,12.68%,4.85%,5.98%
2013,92,Tazewell County ,80.62%,10.75%,3.88%,4.75%
2014,92,Tazewell County ,77.99%,12.84%,3.70%,5.47%
2015,92,Tazewell County ,80.28%,10.26%,4.29%,5.16%
2010,93,Warren County ,77.92%,10.46%,4.71%,6.91%
2011,93,Warren County ,78.59%,10.49%,4.90%,6.02%
2012,93,Warren County ,78.59%,10.97%,4.35%,6.09%
2013,93,Warren County ,82.83%,9.15%,3.48%,4.54%
2014,93,Warren County ,81.11%,9.59%,4.29%,5.01%
2015,93,Warren County ,81.50%,9.57%,3.80%,5.14%
2010,94,Washington County ,87.31%,6.85%,2.84%,3.00%
2011,94,Washington County ,86.83%,7.03%,2.78%,3.36%
2012,94,Washington County ,86.05%,7.93%,3.14%,2.87%
2013,94,Washington County ,88.60%,6.06%,2.17%,3.18%
2014,94,Washington County ,88.23%,6.67%,2.27%,2.84%
2015,94,Washington County ,87.55%,6.77%,2.56%,3.12%
2010,95,Westmoreland County ,87.37%,5.05%,1.70%,5.88%
2011,95,Westmoreland County ,90.09%,4.64%,1.89%,3.38%
2012,95,Westmoreland County ,85.03%,7.66%,2.55%,4.76%
2013,95,Westmoreland County ,89.87%,4.31%,2.15%,3.67%
2014,95,Westmoreland County ,86.95%,6.55%,1.84%,4.66%
2015,95,Westmoreland County ,81.92%,10.04%,3.37%,4.68%
2010,96,Wise County ,83.87%,9.04%,3.14%,3.95%
2011,96,Wise County ,84.99%,8.08%,3.07%,3.87%
2012,96,Wise County ,82.86%,9.58%,3.49%,4.07%
2013,96,Wise County ,85.12%,8.76%,2.56%,3.56%
2014,96,Wise County ,84.62%,8.43%,3.41%,3.54%
2015,96,Wise County ,84.24%,8.90%,3.20%,3.66%
2010,97,Wythe County ,86.30%,7.62%,2.54%,3.55%
2011,97,Wythe County ,86.65%,7.34%,2.50%,3.51%
2012,97,Wythe County ,85.41%,7.87%,3.24%,3.48%
2013,97,Wythe County ,87.34%,7.60%,2.20%,2.87%
2014,97,Wythe County ,87.19%,7.27%,2.48%,3.06%
2015,97,Wythe County ,85.91%,7.83%,2.88%,3.38%
2010,98,York County ,93.41%,3.90%,1.22%,1.47%
2011,98,York County ,94.85%,3.22%,1.03%,0.91%
2012,98,York County ,92.79%,4.65%,1.17%,1.39%
2013,98,York County ,94.04%,3.54%,1.12%,1.31%
2014,98,York County ,94.07%,3.54%,1.23%,1.16%
2015,98,York County ,93.06%,3.98%,1.34%,1.62%
2010,101,Alexandria City ,88.22%,6.15%,2.36%,3.27%
2011,101,Alexandria City ,89.58%,5.34%,2.11%,2.97%
2012,101,Alexandria City ,88.68%,5.86%,2.12%,3.34%
2013,101,Alexandria City ,90.80%,4.97%,1.72%,2.50%
2014,101,Alexandria City ,88.98%,5.74%,2.21%,3.07%
2015,101,Alexandria City ,87.91%,6.00%,2.37%,3.73%
2010,102,Bristol City ,77.45%,10.36%,4.46%,7.73%
2011,102,Bristol City ,79.81%,8.57%,4.79%,6.83%
2012,102,Bristol City ,77.00%,9.38%,4.85%,8.77%
2013,102,Bristol City ,79.89%,8.66%,4.67%,6.78%
2014,102,Bristol City ,79.99%,8.57%,4.86%,6.58%
2015,102,Bristol City ,76.91%,9.25%,5.10%,8.74%
2010,103,Buena Vista City ,82.68%,8.83%,3.48%,5.01%
2011,103,Buena Vista City ,87.84%,6.35%,2.40%,3.41%
2012,103,Buena Vista City ,83.67%,9.18%,3.25%,3.90%
2013,103,Buena Vista City ,88.31%,7.27%,2.49%,1.93%
2014,103,Buena Vista City ,83.92%,7.34%,4.00%,4.74%
2015,103,Buena Vista City ,84.39%,7.80%,3.08%,4.72%
2010,104,Charlottesville City ,92.39%,3.93%,1.94%,1.74%
2011,104,Charlottesville City ,91.98%,4.54%,1.44%,2.04%
2012,104,Charlottesville City ,91.09%,5.12%,1.97%,1.81%
2013,104,Charlottesville City ,91.77%,4.18%,1.69%,2.36%
2014,104,Charlottesville City ,87.37%,5.77%,2.72%,4.14%
2015,104,Charlottesville City ,87.14%,6.21%,2.59%,4.07%
2010,106,Colonial Heights City ,86.19%,7.77%,2.56%,3.48%
2011,106,Colonial Heights City ,89.75%,5.87%,1.87%,2.52%
2012,106,Colonial Heights City ,88.20%,6.21%,2.07%,3.52%
2013,106,Colonial Heights City ,88.56%,5.56%,2.58%,3.31%
2014,106,Colonial Heights City ,88.50%,6.32%,2.51%,2.67%
2015,106,Colonial Heights City ,88.07%,6.28%,2.62%,3.02%
2010,107,Covington City ,82.91%,7.48%,3.10%,6.52%
2011,107,Covington City ,87.26%,6.31%,1.99%,4.43%
2012,107,Covington City ,84.66%,8.66%,2.61%,4.07%
2013,107,Covington City ,83.05%,8.08%,3.45%,5.42%
2014,107,Covington City ,85.04%,6.48%,3.79%,4.69%
2015,107,Covington City ,81.76%,9.22%,3.43%,5.59%
2010,108,Danville City ,81.47%,8.31%,4.15%,6.08%
2011,108,Danville City ,83.10%,7.33%,3.40%,6.17%
2012,108,Danville City ,82.14%,8.03%,3.83%,6.00%
2013,108,Danville City ,83.49%,7.62%,3.08%,5.81%
2014,108,Danville City ,83.61%,7.44%,3.62%,5.32%
2015,108,Danville City ,82.87%,8.19%,3.47%,5.48%
2010,109,Falls Church City ,95.84%,2.78%,0.49%,0.90%
2011,109,Falls Church City ,96.48%,2.16%,0.62%,0.75%
2012,109,Falls Church City ,95.42%,2.43%,1.34%,0.80%
2013,109,Falls Church City ,95.65%,2.91%,0.60%,0.84%
2014,109,Falls Church City ,95.25%,2.63%,0.82%,1.29%
2015,109,Falls Church City ,96.07%,2.30%,0.74%,0.90%
2010,110,Fredericksburg City ,89.03%,5.44%,2.22%,3.31%
2011,110,Fredericksburg City ,90.12%,4.68%,2.06%,3.15%
2012,110,Fredericksburg City ,90.79%,4.69%,1.24%,3.28%
2013,110,Fredericksburg City ,92.01%,4.45%,1.46%,2.08%
2014,110,Fredericksburg City ,91.30%,4.49%,1.68%,2.53%
2015,110,Fredericksburg City ,92.41%,4.46%,1.52%,1.61%
2010,111,Galax City ,91.74%,5.11%,1.80%,1.35%
2011,111,Galax City ,89.36%,6.34%,1.89%,2.42%
2012,111,Galax City ,88.94%,7.35%,2.00%,1.71%
2013,111,Galax City ,91.39%,5.01%,1.65%,1.95%
2014,111,Galax City ,86.76%,7.37%,2.41%,3.47%
2015,111,Galax City ,85.01%,8.40%,3.84%,2.75%
2010,112,Hampton City ,85.15%,7.13%,3.00%,4.72%
2011,112,Hampton City ,86.31%,6.33%,2.97%,4.39%
2012,112,Hampton City ,86.21%,6.95%,2.91%,3.93%
2013,112,Hampton City ,86.31%,6.73%,2.88%,4.08%
2014,112,Hampton City ,85.42%,6.60%,3.21%,4.77%
2015,112,Hampton City ,84.30%,7.25%,3.12%,5.34%
2010,113,Harrisonburg City ,85.91%,7.01%,2.83%,4.25%
2011,113,Harrisonburg City ,86.22%,6.94%,2.81%,4.04%
2012,113,Harrisonburg City ,86.85%,7.16%,2.85%,3.14%
2013,113,Harrisonburg City ,86.46%,6.26%,3.17%,4.11%
2014,113,Harrisonburg City ,86.98%,6.13%,2.67%,4.23%
2015,113,Harrisonburg City ,85.63%,7.04%,2.77%,4.56%
2010,114,Hopewell City ,92.49%,3.61%,1.88%,2.02%
2011,114,Hopewell City ,91.83%,4.49%,1.74%,1.95%
2012,114,Hopewell City ,93.06%,3.69%,1.20%,2.05%
2013,114,Hopewell City ,94.01%,3.16%,1.11%,1.71%
2014,114,Hopewell City ,93.55%,3.54%,1.20%,1.71%
2015,114,Hopewell City ,94.24%,2.54%,1.18%,2.03%
2010,115,Lynchburg City ,87.45%,6.83%,2.34%,3.38%
2011,115,Lynchburg City ,89.87%,5.44%,2.23%,2.46%
2012,115,Lynchburg City ,90.41%,5.60%,2.07%,1.93%
2013,115,Lynchburg City ,87.29%,6.74%,2.59%,3.38%
2014,115,Lynchburg City ,87.68%,6.67%,2.64%,3.01%
2015,115,Lynchburg City ,87.67%,6.21%,2.84%,3.28%
2010,116,Martinsville City ,90.03%,5.29%,2.42%,2.26%
2011,116,Martinsville City ,89.19%,5.64%,2.37%,2.80%
2012,116,Martinsville City ,89.95%,5.56%,2.33%,2.16%
2013,116,Martinsville City ,83.46%,8.21%,2.84%,5.50%
2014,116,Martinsville City ,81.62%,8.28%,4.06%,6.04%
2015,116,Martinsville City ,79.81%,8.76%,4.29%,7.14%
2010,117,Newport News City ,84.91%,7.26%,3.16%,4.67%
2011,117,Newport News City ,85.90%,7.00%,2.77%,4.33%
2012,117,Newport News City ,84.41%,7.74%,3.39%,4.46%
2013,117,Newport News City ,85.72%,7.15%,3.01%,4.12%
2014,117,Newport News City ,85.87%,6.78%,3.16%,4.19%
2015,117,Newport News City ,83.83%,7.73%,3.42%,5.02%
2010,118,Norfolk City ,84.94%,6.42%,2.65%,5.99%
2011,118,Norfolk City ,85.70%,5.81%,2.61%,5.88%
2012,118,Norfolk City ,85.64%,6.38%,2.77%,5.22%
2013,118,Norfolk City ,86.29%,5.84%,2.65%,5.22%
2014,118,Norfolk City ,84.52%,6.55%,2.69%,6.24%
2015,118,Norfolk City ,82.52%,7.64%,3.34%,6.50%
2010,119,Norton City ,87.29%,7.85%,3.31%,1.55%
2011,119,Norton City ,87.21%,7.08%,3.07%,2.64%
2012,119,Norton City ,81.59%,11.87%,2.94%,3.59%
2013,119,Norton City ,90.32%,4.67%,2.45%,2.56%
2014,119,Norton City ,81.19%,13.11%,3.19%,2.51%
2015,119,Norton City ,81.90%,12.18%,2.78%,3.13%
2010,120,Petersburg City ,73.29%,10.86%,5.37%,10.48%
2011,120,Petersburg City ,75.99%,10.02%,5.02%,8.98%
2012,120,Petersburg City ,75.50%,10.28%,5.24%,8.98%
2013,120,Petersburg City ,75.90%,10.71%,4.79%,8.61%
2014,120,Petersburg City ,78.07%,9.98%,4.13%,7.81%
2015,120,Petersburg City ,79.07%,8.90%,4.52%,7.51%
2010,121,Portsmouth City ,84.93%,6.79%,2.91%,5.37%
2011,121,Portsmouth City ,85.30%,6.45%,2.88%,5.37%
2012,121,Portsmouth City ,86.56%,6.45%,2.66%,4.32%
2013,121,Portsmouth City ,86.20%,6.72%,2.97%,4.11%
2014,121,Portsmouth City ,85.36%,6.74%,3.26%,4.64%
2015,121,Portsmouth City ,84.16%,7.62%,3.38%,4.84%
2010,122,Radford City ,88.88%,6.41%,1.83%,2.87%
2011,122,Radford City ,87.50%,6.07%,2.55%,3.88%
2012,122,Radford City ,88.90%,6.27%,1.61%,3.23%
2013,122,Radford City ,90.36%,5.21%,1.82%,2.61%
2014,122,Radford City ,90.29%,6.28%,1.60%,1.84%
2015,122,Radford City ,88.51%,6.99%,1.95%,2.55%
2010,123,Richmond City ,76.66%,9.01%,4.57%,9.77%
2011,123,Richmond City ,78.71%,8.43%,4.30%,8.56%
2012,123,Richmond City ,79.39%,8.18%,4.19%,8.25%
2013,123,Richmond City ,80.54%,8.35%,3.58%,7.53%
2014,123,Richmond City ,78.46%,8.78%,4.23%,8.53%
2015,123,Richmond City ,77.34%,8.03%,4.57%,10.06%
2010,124,Roanoke City ,81.76%,8.10%,3.80%,6.34%
2011,124,Roanoke City ,80.39%,8.07%,4.07%,7.48%
2012,124,Roanoke City ,81.97%,8.02%,3.76%,6.25%
2013,124,Roanoke City ,80.45%,8.83%,4.14%,6.58%
2014,124,Roanoke City ,80.56%,8.37%,4.27%,6.81%
2015,124,Roanoke City ,81.19%,8.85%,3.78%,6.17%
2010,126,Staunton City ,91.02%,5.19%,1.54%,2.25%
2011,126,Staunton City ,92.03%,4.72%,1.01%,2.24%
2012,126,Staunton City ,90.42%,5.02%,1.77%,2.79%
2013,126,Staunton City ,89.21%,5.45%,2.51%,2.83%
2014,126,Staunton City ,89.35%,4.85%,2.32%,3.48%
2015,126,Staunton City ,89.65%,4.70%,2.06%,3.59%
2010,127,Suffolk City ,89.50%,5.19%,2.13%,3.17%
2011,127,Suffolk City ,90.08%,4.95%,1.89%,3.09%
2012,127,Suffolk City ,89.58%,5.44%,2.13%,2.85%
2013,127,Suffolk City ,90.02%,4.94%,1.99%,3.05%
2014,127,Suffolk City ,89.13%,5.32%,2.25%,3.30%
2015,127,Suffolk City ,88.09%,6.12%,2.56%,3.23%
2010,128,Virginia Beach City ,91.39%,4.63%,1.55%,2.42%
2011,128,Virginia Beach City ,92.50%,3.83%,1.44%,2.23%
2012,128,Virginia Beach City ,91.55%,4.45%,1.60%,2.41%
2013,128,Virginia Beach City ,91.61%,4.47%,1.50%,2.42%
2014,128,Virginia Beach City ,91.69%,4.51%,1.52%,2.27%
2015,128,Virginia Beach City ,91.00%,4.86%,1.68%,2.47%
2010,130,Waynesboro City ,91.43%,4.46%,1.61%,2.50%
2011,130,Waynesboro City ,89.62%,5.33%,2.08%,2.98%
2012,130,Waynesboro City ,86.42%,7.57%,2.25%,3.75%
2013,130,Waynesboro City ,88.88%,5.62%,2.17%,3.33%
2014,130,Waynesboro City ,88.14%,6.41%,2.41%,3.04%
2015,130,Waynesboro City ,87.36%,6.17%,2.67%,3.80%
2010,131,Williamsburg-James City County ,89.02%,5.54%,2.18%,3.26%
2011,131,Williamsburg-James City County ,89.66%,5.18%,2.01%,3.16%
2012,131,Williamsburg-James City County ,88.59%,6.25%,2.21%,2.96%
2013,131,Williamsburg-James City County ,90.51%,4.81%,2.07%,2.61%
2014,131,Williamsburg-James City County ,90.29%,4.80%,2.13%,2.78%
2015,131,Williamsburg-James City County ,88.82%,5.59%,2.32%,3.27%
2010,132,Winchester City ,82.18%,7.99%,4.01%,5.82%
2011,132,Winchester City ,84.85%,7.72%,3.62%,3.80%
2012,132,Winchester City ,85.12%,7.74%,3.16%,3.99%
2013,132,Winchester City ,86.24%,7.18%,3.50%,3.08%
2014,132,Winchester City ,86.06%,7.51%,3.23%,3.21%
2015,132,Winchester City ,85.96%,7.03%,3.17%,3.84%
2010,135,Franklin City ,89.16%,6.20%,2.01%,2.63%
2011,135,Franklin City ,88.57%,6.48%,2.06%,2.90%
2012,135,Franklin City ,88.78%,6.36%,2.43%,2.43%
2013,135,Franklin City ,93.53%,3.87%,1.26%,1.34%
2014,135,Franklin City ,90.86%,4.77%,2.34%,2.02%
2015,135,Franklin City ,88.72%,6.19%,1.78%,3.31%
2010,136,Chesapeake City ,92.40%,4.28%,1.30%,2.03%
2011,136,Chesapeake City ,93.31%,3.61%,1.18%,1.90%
2012,136,Chesapeake City ,92.82%,4.13%,1.33%,1.72%
2013,136,Chesapeake City ,93.10%,3.83%,1.22%,1.84%
2014,136,Chesapeake City ,92.50%,4.06%,1.47%,1.97%
2015,136,Chesapeake City ,91.88%,4.33%,1.62%,2.17%
2010,137,Lexington City ,97.54%,1.64%,0.41%,0.41%
2011,137,Lexington City ,95.71%,3.04%,0.36%,0.89%
2012,137,Lexington City ,95.72%,2.29%,0.92%,1.07%
2013,137,Lexington City ,94.10%,3.83%,0.64%,1.44%
2014,137,Lexington City ,94.28%,3.94%,0.79%,0.99%
2015,137,Lexington City ,95.29%,3.73%,0.78%,0.20%
2010,139,Salem City ,91.55%,4.34%,1.51%,2.59%
2011,139,Salem City ,92.68%,4.18%,1.44%,1.69%
2012,139,Salem City ,89.68%,5.58%,1.85%,2.89%
2013,139,Salem City ,91.67%,4.49%,1.36%,2.48%
2014,139,Salem City ,91.76%,4.47%,1.55%,2.22%
2015,139,Salem City ,92.37%,4.24%,1.04%,2.35%
2010,142,Poquoson City ,94.49%,3.44%,0.87%,1.20%
2011,142,Poquoson City ,94.95%,3.22%,0.83%,1.00%
2012,142,Poquoson City ,93.93%,4.12%,1.02%,0.93%
2013,142,Poquoson City ,95.72%,2.78%,0.73%,0.77%
2014,142,Poquoson City ,95.15%,3.23%,1.02%,0.60%
2015,142,Poquoson City ,94.06%,3.31%,1.38%,1.24%
2010,143,Manassas City ,88.16%,6.06%,2.47%,3.31%
2011,143,Manassas City ,88.51%,5.98%,2.42%,3.09%
2012,143,Manassas City ,87.29%,6.82%,2.59%,3.31%
2013,143,Manassas City ,88.82%,5.89%,2.23%,3.06%
2014,143,Manassas City ,85.21%,6.66%,3.19%,4.94%
2015,143,Manassas City ,85.49%,6.25%,3.01%,5.25%
2010,144,Manassas Park City ,89.14%,6.30%,2.13%,2.42%
2011,144,Manassas Park City ,91.44%,5.61%,1.60%,1.35%
2012,144,Manassas Park City ,91.66%,5.08%,1.57%,1.69%
2013,144,Manassas Park City ,91.93%,4.95%,1.86%,1.27%
2014,144,Manassas Park City ,91.53%,4.98%,1.67%,1.81%
2015,144,Manassas Park City ,90.38%,5.96%,1.37%,2.30%
2010,202,Colonial Beach ,93.12%,3.36%,1.12%,2.40%
2011,202,Colonial Beach ,89.52%,4.62%,1.85%,4.01%
2012,202,Colonial Beach ,86.30%,5.72%,1.96%,6.02%
2013,202,Colonial Beach ,88.94%,7.97%,1.63%,1.46%
2014,202,Colonial Beach ,90.66%,3.70%,2.25%,3.38%
2015,202,Colonial Beach ,92.63%,4.55%,2.19%,0.63%
2010,207,West Point ,87.25%,7.20%,3.66%,1.89%
2011,207,West Point ,87.48%,7.02%,2.17%,3.32%
2012,207,West Point ,88.52%,6.43%,2.90%,2.14%
2013,207,West Point ,89.77%,7.02%,1.43%,1.78%
2014,207,West Point ,88.49%,7.67%,2.10%,1.73%
2015,207,West Point ,88.29%,6.42%,2.90%,2.39%
,,,,,,
,,,,,,
